uid,org,work_location,certification,issue_date,type
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-24,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-17,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-12-15,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2019-06-09,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-03-15,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Kubernetes Service,2019-01-11,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-15,badge
097043781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2017-02-14,badge
104033781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",ISTQB® Certified Tester Foundation Level (CTFL),2022-11-04,badge
104033781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-03-30,badge
104033781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2021-01-30,badge
104033781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-01-21,badge
001372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Assistant Methodology,2021-12-29,badge
001372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2021-12-08,badge
001372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Assistant Foundations,2021-09-22,badge
001372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-11-09,badge
001372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-10-15,badge
001372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2020-10-07,badge
001372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2020-09-26,badge
001372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-09-25,badge
001372781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-09-15,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Foundation,2022-06-06,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevSecOps Essentials,2022-05-23,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Satellite Sales Foundation,2022-05-20,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Trustworthy AI and AI Ethics,2022-05-06,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Knowledge Sharing for Business Impact,2022-05-03,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-04-06,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IoT - Selling an IBM Watson IoT SaaS Solution,2022-02-07,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Mental Health Ally,2021-12-03,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IoT - Token Licensing,2021-12-02,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IoT - Maximo Safety Management,2021-12-01,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate Product Manager,2021-11-05,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate Leader,2021-11-05,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate for All IBMers,2021-10-30,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-06-22,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2021-03-01,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IoT - Tactic: Improve Product Requirements with AI,2021-01-06,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson IoT - Industry 4.0 Essentials,2020-12-29,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-12-02,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Digital Insights - Knowledge Delivery,2020-11-29,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson IoT - Building Optimization Essentials,2020-11-27,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson IoT - Asset Optimization Essentials,2020-11-26,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IoT - Intro to IBM Maximo Production Optimization,2020-11-25,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Consulting - Delivering Trust,2020-10-14,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Consulting - Leading Initiatives,2020-09-25,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Consulting - Building Teams,2020-09-08,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Speech to Text,2020-08-11,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Watson Studio Visual Recognition Essentials,2020-07-27,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Consulting - Communicating Value,2020-07-15,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Consulting - Delivering Business Value,2020-06-03,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IoT - Intro to IBM IoT Worker Insights,2020-05-31,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","IoT - Managing Engineering Complexity, an Introduction",2020-05-31,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IoT - Optimize Equipment with AI - Introduction,2020-05-30,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IoT - Optimize Operations with AI - Introduction,2020-05-30,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Consulting,2020-05-30,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certification Exam Developer 2020 - Level I,2020-03-24,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson IoT - Services Essentials,2020-03-23,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Solution Advisor - IBM Cloud Foundations V2,2020-03-13,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",All Flash Storage Foundations V2,2019-12-31,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2019-12-17,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2019-12-15,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Quantum Conversations,2019-12-15,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Essentials,2019-12-04,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Storage and Cloud Essentials,2019-11-30,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Migration Method Explorer 2,2019-11-30,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Data Driven & Multi-Cloud Storage Strategy v1,2019-11-14,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Application Services Innovation - Application Innovation 101,2019-08-14,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",QRadar Cloud & QRadar Advisor with Watson,2019-08-12,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Storage for AI,2019-08-12,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Problem Solving, Emotional Intelligence",2019-08-12,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Experienced Cloud Engineer,2019-07-25,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-07-23,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Security Data Protection Technical Sales Foundations - Level 100,2019-06-29,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Security BigFix Technical Sales Foundations - Level 100,2019-05-22,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IoT - Maximo Security Model,2019-05-18,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Beyond the Basics: Istio and IBM Cloud Kubernetes Service,2019-03-26,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","Containers, K8s and Istio on IBM Cloud",2019-03-26,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Getting started with Microservices with Istio and IBM Cloud Kubernetes Service,2019-03-24,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Kubernetes Service,2019-03-22,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2019-03-21,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Service Management and Operations - Advanced V2,2019-03-14,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python for Data Science,2019-03-13,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Discovery Service Foundations,2019-01-09,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2019-01-08,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Hadoop Foundations - Level 1,2019-01-04,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Statistics 101,2018-12-29,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Security Essentials for Architects,2018-12-28,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM New Collar Professional Skills,2018-12-22,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science for Business - Level 1,2018-12-07,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Service Management and Operations Explorer,2018-12-04,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2018-11-29,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Co-Creator,2018-11-22,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Analytics - Level 1,2018-11-15,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certification Exam Developer 2018 - Level I,2018-10-22,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Deployment Professional - IBM Cloud Private V1,2018-10-15,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Advocate,2018-08-01,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private - Continuous Integration/Continuous Delivery Pipelines,2018-07-17,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2018-07-06,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Get started with Istio and IBM Cloud Container Service,2018-07-04,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Explorer,2018-06-29,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Conversation Service Foundations,2018-06-26,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Get started with Kubernetes and IBM Cloud Container Service,2018-06-22,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2018-06-19,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private Infrastructure and Architecture,2018-06-15,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private Installation and Configuration,2018-06-08,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private - Foundation Technology,2018-04-02,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Node-RED: basics to bots,2018-03-12,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-03-03,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2018-02-15,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2017-12-13,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-11-17,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Achiever,2017-02-03,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Champion,2017-01-25,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Advisory Project Manager,2016-10-21,badge
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Project Management Professional (PMP) (19 Jul 2012),,external certification
076180781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Six Sigma Green Belt (10 Oct 2002),,external certification
070246781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-16,badge
070246781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-04-01,badge
070246781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",z/OS Introduction Workshop,2019-05-30,badge
070246781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2018-04-14,badge
079350781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2022-07-13,badge
079350781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-31,badge
079350781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-31,badge
079350781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Efficiency,2020-08-25,badge
079350781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2020-06-24,badge
079350781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-31,badge
079350781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Professional - Foundational Level,2018-08-24,badge
079350781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-04-12,badge
079350781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-07-07,badge
104715781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Scala Programming for Data Science - Level 1,2021-09-20,badge
104715781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Spark - Level 1,2021-09-14,badge
104715781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2021-09-11,badge
104715781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2021-09-10,badge
104715781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2021-09-07,badge
104715781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-08-17,badge
070510781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-08,badge
070510781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-07-03,badge
070510781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Professional - Foundational Level,2018-08-31,badge
070510781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Electronics Industry Jumpstart,2018-02-28,badge
07882A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM DevSecOps Explorer - Security & Automation for DevOps,2022-01-05,badge
07882A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-11-18,badge
07882A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-09-23,badge
